,Birth 1,Birth 2,Birth 3,Birth 4,Death 1,Death 2,Event 1,Event 2
17-Feb,Ed Sheeran- 1991,Paris Hilton- 1981,Joseph Gordon Levitt- 1981,AB De Villiers- 1984,Richard Briers- 2013,Mindy McCready- 2013,1865 - City of Columbia- South Carolina burns down,2008 - Kosovo declares independence from Serbia
18-Feb,Yoko Ono- 1933,Dr Dre- 1965,Gary Neville- 1975,John Travolta- 1954,Michaelangelo- 1564,Robert Oppenheimer- 1967,1861 - Victor Emmanuel II becomes first king of Italy,1901 - Churchill makes maiden speech in house of commons
19-Feb,Luke Pasqualino- 1990,Benicio Del Torro- 1967,Smoky Robinson- 1940,David Gandy- 1980,Harper Lee- 2016,Ernest Manning- 1996,1984 - 14th winter olympics close ,1971 - Paul McCartney released another day in UK
20-Feb,Kurt Cobain- 1967,Rihanna- 1988,Trevor Noah- 1984,Anthony Head- 1954,Feruccio Lamborghini- 1996,Sandra Dee- 2005,1811 - Austria declares bankruptcy,1938 - Anthony Eden resigns as foreign secretary
21-Feb,Alan Rickman- 1946,Sophie Turner- 1996,Michael McIntyre- 1976,Katie McGrath- 1983,Tim Horton- 1974,Howard Florey- 1968,1848 - Karl Marx publishes the communist manifesto,1953 - Structure of DNA molecule discovered
22-Feb,Drew Barrymore- 1975,Steve Irwin- 1962,Bruce Forsyth- 1928,Julie Walters- 1950,Andy Warhol- 1987,Nicholas Courtney- 2011,1854 - First meeting of US Republican Party,1968 - Genesis release their first record- The Silent Sun
23-Feb,Josh Gad- 1981,Emily Blunt- 1983,Kelly MacDonald- 1976,Skylar Grey- 1986,Stan Laurel- 1965,John Keats- 1821,1782 - First patent for steam engine is granted,1919 - Italian fascist party founded by Mussolini
24-Feb,Steve Jobs- 1955,Floyd Mayweather Jr- 1977,Ramona Marquez- 2001,Erna Solberg- 1961,Bobby Moore- 1993,Dennis Weaver- 2006,1868 - Congress votes to impeach Andrew Jackson,1924 - Gandhi released from prison
25-Feb,Sean Astin- 1971,George Harrison- 1943,Lee Evans- 1964,Ed Balls- 1967,Don Bradman- 2001,Bill Paxton- 2017,1793 - First meeting of US cabinet,1862 - Paper currency introduced in US
26-Feb,Johnny Cash- 1932,Nate Ruess- 1982,Pepe- 1983,Danny Mac- 1988,Bill Hicks- 1994,Wendy Richard- 2009,1863 - Single currency established in US ,1938 - First passenger ship equipped with radar
27-Feb,Timothy Spall- 1957,John Steinbeck- 1902,Peter Andre- 1973,Kate Mara- 1983,Leonard Nimoy- 2015,Spike Milligan- 2002,1816 - Dutch regain Suriname from the french,1980 - Robert Mugabe comes to power in Zimbabwe
28-Feb,Ainsley Harriott- 1957,Jake Bugg- 1994,Daniel Handler- 1970,Sarah Bolger- 1991,George Kennedy- 2016,Jane Russell- 2011,1784 - John Wesley founds methodist church,1984 - Michael Jackson wins 8 awards at 26th Grammies
29-Feb,Mark Foster- 1984,Jessie Usher- 1992,Ja Rule- 1976,Benedikt Howedes- 1988,Davy Jones- 2012,Lee Reherman- 2016,1960 - First playboy club opens in Chicago,1984 - Pierre Trudeau steps down as prime minister of Canada
01-Mar,Paul Hollywood- 1966,Jensen Ackles- 1978,Lupita Nyong'o- 1983,Roger Daltrey- 1944,Dixie Dean- 1980,Jackie Coogan- 1984,1780 - Pennsylvania is first state to abolish slavery,1961 - JFK establishes the peace corps
02-Mar,Jon Bon Jovi- 1962,Daniel Craig- 1968,Chris Martin- 1977,Nathalie Emmanuel- 1989,Dusty Springfield- 1999,John Wesley- 1791,1882 - Failed assassination attempt on Queen Victoria,1946 - Ho Chi Minh elected president of Vietnam
